Dates,TLT,VIX,VVIX
2006-11-02,51.21249874,11.42,77.08
2006-11-03,50.54368946,11.16,75.19
2006-11-06,50.75518753,11.16,70.46
2006-11-07,50.98956231,11.09,67.5
2006-11-08,51.17820083,10.75,62.08
2006-11-09,51.14390292,11.01,60.42
2006-11-10,51.36683934,10.79,61.06
2006-11-13,51.35540671,10.86,36.14
2006-11-14,51.55547786,10.5,60.77
2006-11-15,51.36112874,10.31,58.58
2006-11-16,51.12675396,10.16,62.48
2006-11-17,51.41828621,10.05,64.3
2006-11-20,51.49831467,9.97,65.98
2006-11-21,51.62407368,9.9,65.3
2006-11-22,51.70982418,10.14,63.62
2006-11-24,51.80127956,10.73,66.48
2006-11-27,51.98991807,12.3,71.6
2006-11-28,52.10423873,11.62,66.56
2006-11-29,51.97847972,10.83,60.3
2006-11-30,52.32146456,10.91,61.39
2006-12-01,52.4546532,11.66,62.33
2006-12-04,52.54645745,11.23,62.11
2006-12-05,52.29972779,11.27,65.87
2006-12-06,52.19645375,11.33,66.49
2006-12-07,52.15628365,12.67,68.65
2006-12-08,51.7776026,12.07,71.34
2006-12-11,52.00136972,10.71,72.84
2006-12-12,52.110393,10.65,74.78
2006-12-13,51.64562251,10.18,79.06
2006-12-14,51.45627625,9.97,82.57
2006-12-15,51.48497081,10.05,84.63
2006-12-18,51.50217837,10.6,84.26
2006-12-19,51.43333092,10.3,78.91
2006-12-20,51.42759316,10.26,84.68
2006-12-21,51.68579261,10.53,83.94
2006-12-22,51.28988678,11.36,83.41
2006-12-26,51.44480645,11.26,85.28
2006-12-27,51.0663206,10.64,83.01
2006-12-28,50.95117669,10.99,88.72
2006-12-29,50.91087057,11.56,88.16
2007-01-03,51.27934257,12.04,87.63
2007-01-04,51.58447391,11.51,88.19
2007-01-05,51.36569474,12.14,90.17
2007-01-08,51.45205267,12.0,92.04
2007-01-09,51.45205267,11.91,92.76
2007-01-10,51.22176486,11.47,93.78
2007-01-11,50.92239072,10.87,85.97
2007-01-12,50.68633996,10.15,85.18
2007-01-16,50.77846084,10.74,85.3
2007-01-17,50.64029391,10.59,84.93
2007-01-18,50.79573243,10.85,83.66
2007-01-19,50.6575655,10.4,82.49
2007-01-22,50.77846084,10.77,84.43
2007-01-23,50.44454352,10.34,81.48
2007-01-24,50.43878633,9.89,77.51
2007-01-25,50.07608304,11.22,80.45
2007-01-26,50.03578267,11.13,81.36
2007-01-29,49.92639596,11.45,81.68
2007-01-30,49.98397367,10.96,78.9
2007-01-31,50.40424316,10.42,77.28
2007-02-01,50.34371503,10.31,73.5
2007-02-02,50.40730223,10.08,72.44
2007-02-05,50.47667585,10.55,70.29
2007-02-06,50.75414146,10.65,68.55
2007-02-07,50.90443846,10.32,70.32
2007-02-08,50.94490304,10.44,73.18
2007-02-09,50.65587035,11.1,74.39
2007-02-12,50.54025149,11.61,79.12
2007-02-13,50.43043062,10.34,75.72
2007-02-14,50.9102249,10.23,74.0
2007-02-15,51.06051612,10.22,70.34
2007-02-16,51.23971639,10.02,70.74
2007-02-20,51.35532947,10.24,65.87
2007-02-21,51.26861966,10.2,67.37
2007-02-22,50.99115405,10.18,66.05
2007-02-23,51.35532947,10.58,70.71
2007-02-26,51.69638227,11.15,70.33
2007-02-27,52.34960195,18.31,110.42
2007-02-28,52.11258935,15.42,91.64
2007-03-01,52.07351512,15.82,99.47
2007-03-02,52.34043393,18.60999,104.17
2007-03-05,52.42748036,19.62999,101.2
2007-03-06,52.27080142,15.96,93.65
2007-03-07,52.47389043,15.24,94.41
2007-03-08,52.42748036,14.29,93.97
2007-03-09,51.87621141,14.09,91.82
2007-03-12,52.07931203,13.99,90.02
2007-03-13,52.3926525,18.12999,94.53
2007-03-14,52.15474724,17.26999,98.08
2007-03-15,52.14894453,16.42999,99.55
2007-03-16,52.13734492,16.78999,102.74
2007-03-19,52.02708765,14.59,93.9
2007-03-20,52.05610699,13.27,89.55
2007-03-21,52.07931203,12.19,94.13
2007-03-22,51.6673139,12.93,95.52
2007-03-23,51.52224617,12.95,96.37
2007-03-26,51.58607597,13.16,95.95
2007-03-27,51.49904114,13.48,101.0
2007-03-28,51.39459818,14.98,104.79
2007-03-29,51.32495988,15.14,102.31
2007-03-30,51.22631382,14.64,99.78
2007-04-02,51.31136991,14.53,98.92
2007-04-03,51.24730351,13.46,94.98
2007-04-04,51.29971565,13.24,96.12
2007-04-05,51.10751645,13.23,93.6
2007-04-09,50.76971178,13.14,92.3
2007-04-10,50.92113563,12.68,87.37
2007-04-11,50.88619615,13.49,93.47
2007-04-12,50.89784458,12.71,91.38
2007-04-13,50.74059069,12.2,88.71
2007-04-16,51.02015899,11.98,83.98
2007-04-17,51.30553987,12.14,83.68
2007-04-18,51.56180548,12.42,80.59
2007-04-19,51.47444221,12.54,77.91
2007-04-20,51.34047936,12.07,79.18
2007-04-23,51.52686017,13.04,79.33
2007-04-24,51.71905938,13.12,77.83
2007-04-25,51.53851443,13.21,80.79
2007-04-26,51.16576445,12.79,81.67
2007-04-27,51.15411019,12.45,80.66
2007-04-30,51.68993829,14.22,85.33
2007-05-01,51.72736639,13.51,81.28
2007-05-02,51.69813275,13.08,82.59
2007-05-03,51.58122739,13.09,78.81
2007-05-04,51.79166755,12.91,77.1
2007-05-07,51.93195515,13.15,78.51
2007-05-08,51.81504395,13.21,79.9
2007-05-09,51.6104435,12.88,85.89
2007-05-10,51.73320611,13.6,83.58
2007-05-11,51.55199375,12.95,79.47
2007-05-14,51.41755171,13.96,82.02
2007-05-15,51.40000334,14.01,76.68
2007-05-16,51.36493582,13.5,70.26
2007-05-17,51.15448982,13.51,72.94
2007-05-18,50.81544734,12.76,75.43
2007-05-21,50.96743774,13.3,71.82
2007-05-22,50.70439339,13.06,72.36
2007-05-23,50.55825439,13.24,71.44
2007-05-24,50.60501887,14.08,74.36
2007-05-25,50.48810182,13.34,72.42
2007-05-29,50.48225626,13.53,72.48
2007-05-30,50.5874705,12.83,71.61
2007-05-31,50.49394738,13.05,72.2
2007-06-01,50.22842879,12.78,70.19
2007-06-04,50.4573,13.29,70.74
2007-06-05,50.1404014,13.63,69.24
2007-06-06,50.11692156,14.87,72.06
2007-06-07,49.21904805,17.06,75.83
2007-06-08,49.1779686,14.84,70.69
2007-06-11,49.03712477,14.71,68.73
2007-06-12,48.32704303,16.67,69.48
2007-06-13,48.90214944,14.73,68.81
2007-06-14,48.7789111,13.64,63.52
2007-06-15,49.11341518,13.94,64.03
2007-06-18,49.0136508,13.42,66.76
2007-06-19,49.47139323,12.85,67.24
2007-06-20,49.07233573,14.67,76.8
2007-06-21,48.83759602,14.21,74.76
2007-06-22,49.15448876,15.75,78.35
2007-06-25,49.42444529,16.64999,78.07
2007-06-26,49.43618814,18.89,82.01
2007-06-27,49.48313609,15.53,78.48
2007-06-28,49.47139323,15.54,76.04
2007-06-29,49.98195209,16.23,76.94
2007-07-02,50.2445011,15.4,75.56
2007-07-03,49.93817397,14.92,74.63
2007-07-05,49.37853299,15.48,75.86
2007-07-06,49.17823243,14.72,74.85
2007-07-09,49.35496302,15.16,73.05
2007-07-10,50.19148781,17.56999,79.99
2007-07-11,49.67308397,16.64,81.55
2007-07-12,49.50223851,15.54,76.6
2007-07-13,49.63772607,15.15,76.65
2007-07-16,50.11491045,15.59,72.56
2007-07-17,50.0088662,15.63,72.41
2007-07-18,50.19738473,16.0,73.57
2007-07-19,50.18559679,15.23,72.02
2007-07-20,50.6392112,16.95,73.76
2007-07-23,50.55673693,16.81,74.56
2007-07-24,50.74524367,18.54999,79.32
2007-07-25,50.845391,18.09999,75.31
2007-07-26,51.26954442,20.73999,87.38
2007-07-27,51.41681991,24.17,97.23
2007-07-30,51.26954442,20.87,97.45
2007-07-31,51.64067866,23.51999,104.08
2007-08-01,51.52861701,23.67,108.86
2007-08-02,51.65873076,21.21999,100.8
2007-08-03,52.0017305,25.15999,104.05
2007-08-06,51.62323498,22.93999,95.22
2007-08-07,51.58184295,21.56,85.96
2007-08-08,50.95495974,21.45,82.52
2007-08-09,51.02592765,26.48,99.87
2007-08-10,50.9076478,28.29999,108.91
2007-08-13,51.05549761,26.56999,108.57
2007-08-14,51.19151944,27.67999,114.96
2007-08-15,51.00818567,30.67,121.67
2007-08-16,51.53453101,30.82999,142.99
2007-08-17,51.32753535,29.98999,133.87
2007-08-20,51.35711123,26.32999,125.04
2007-08-21,51.605493,25.25,122.6
2007-08-22,51.52270302,22.89,117.47
2007-08-23,51.7001228,22.62,117.42
2007-08-24,51.95443039,20.71999,111.95
2007-08-27,52.22646813,22.71999,115.24
2007-08-28,52.31518394,26.29999,119.79
2007-08-29,52.1732422,23.81,113.22
2007-08-30,52.52216776,25.06,112.66
2007-08-31,52.56356571,23.37999,109.27
2007-09-04,52.58838106,22.78,104.87
2007-09-05,53.0099907,24.57999,107.91
2007-09-06,52.87340699,23.98999,106.6
2007-09-07,53.6216216,26.23,108.22
2007-09-10,54.03729309,27.37999,107.07
2007-09-11,53.99572,25.26999,103.75
2007-09-12,53.79382836,24.95999,106.95
2007-09-13,53.31283707,24.75999,104.63
2007-09-14,53.39003321,24.92,104.39
2007-09-17,53.64537426,26.48,102.22
2007-09-18,53.2415791,20.34999,92.33
2007-09-19,52.74871149,20.03,97.7
2007-09-20,51.75109398,20.45,97.38
2007-09-21,52.19052406,19.0,98.14
2007-09-24,52.33897816,19.37,94.27
2007-09-25,52.15489508,18.59999,94.33
2007-09-26,52.20240039,17.62999,89.49
2007-09-27,52.5646284,17.0,87.57
2007-09-28,52.68339168,18.0,87.13
2007-10-01,52.98428972,17.84,84.48
2007-10-02,53.15120692,18.48999,88.74
2007-10-03,52.99620641,18.79999,87.65
2007-10-04,53.19890351,18.43999,89.38
2007-10-05,52.62660999,16.90999,83.91
2007-10-08,52.58488666,17.45999,84.96
2007-10-09,52.51931204,16.12,79.93
2007-10-10,52.54910676,16.67,87.46
2007-10-11,52.49546076,18.87999,95.78
2007-10-12,52.23912363,17.73,90.63
2007-10-15,52.25104032,19.25,86.18
2007-10-16,52.26892431,20.01999,91.47
2007-10-17,52.84121783,18.53999,89.48
2007-10-18,53.13332294,18.5,83.37
2007-10-19,53.92618562,22.95999,91.56
2007-10-22,53.93214099,21.64,88.17
2007-10-23,53.860611,20.40999,86.42
2007-10-24,54.26001407,20.79999,89.14
2007-10-25,54.07521884,21.17,90.82
2007-10-26,53.95002497,19.56,95.36
2007-10-29,54.15867744,19.87,95.01
2007-10-30,54.12886483,21.06999,100.37
2007-10-31,53.64003588,18.53,93.62
2007-11-01,54.33684055,23.20999,97.53
2007-11-02,54.51047295,23.00999,97.46
2007-11-05,54.48652882,24.31,97.29
2007-11-06,54.22307747,21.39,92.7
2007-11-07,54.31887796,26.48999,98.17
2007-11-08,54.22307747,26.15999,97.36
2007-11-09,54.68411733,28.5,97.86
2007-11-12,54.88170584,31.09,98.09
2007-11-13,54.67813579,24.09999,92.58
2007-11-14,54.7380051,25.93999,94.39
2007-11-15,55.25293274,28.06,92.96
2007-11-16,55.33077064,25.48999,92.8
2007-11-19,55.69001649,26.00999,91.13
2007-11-20,55.63014717,24.87999,91.34
2007-11-21,55.95347382,26.84,94.49
2007-11-23,56.12112468,25.60999,89.62
2007-11-26,57.22881785,28.90999,91.55
2007-11-27,56.68395256,26.28,90.7
2007-11-28,56.3007506,24.10999,91.62
2007-11-29,56.78574058,23.96999,91.08
2007-11-30,56.51031417,22.87,88.88
2007-12-03,56.95869766,23.60999,87.45
2007-12-04,56.9526922,23.78999,86.85
2007-12-05,56.27338984,22.53,83.08
2007-12-06,55.78044312,20.95999,81.51
2007-12-07,55.15525604,20.84999,82.47
2007-12-10,54.82462508,20.73999,81.5
2007-12-11,55.90068459,23.59,82.58
2007-12-12,55.32357726,22.46999,89.41
2007-12-13,54.72243005,22.56,88.19
2007-12-14,54.46994823,23.26999,85.82
2007-12-17,54.95687746,24.51999,85.38
2007-12-18,55.3115483,22.64,80.83
2007-12-19,56.0449539,21.67999,83.47
2007-12-20,55.92472446,20.57999,79.44
2007-12-21,55.10716426,18.46999,82.87
2007-12-24,54.84867698,18.59999,79.85
2007-12-26,54.3677532,18.65999,80.79
2007-12-27,54.9602919,20.25999,84.36
2007-12-28,55.81734894,20.73999,84.03
2007-12-31,56.15836108,22.5,82.19
2008-01-02,56.96411541,23.17,80.58
2008-01-03,56.88565244,22.48999,79.33
2008-01-04,56.89772367,23.93999,81.46
2008-01-07,57.14517776,23.78999,79.51
2008-01-08,57.07879809,25.42999,79.59
2008-01-09,57.18743309,24.12,89.37
2008-01-10,56.41487463,23.45,84.98
2008-01-11,56.85547438,23.67999,84.66
2008-01-14,57.06672083,22.89999,86.96
2008-01-15,57.70649581,23.34,81.13
2008-01-16,57.29003851,24.37999,80.51
2008-01-17,58.03241287,28.45999,84.99
2008-01-18,57.63407449,27.17999,77.24
2008-01-22,58.24964062,31.00999,86.58
2008-01-23,58.11691146,29.01999,82.68
2008-01-24,56.95204418,27.78,81.31
2008-01-25,57.91170665,29.07999,79.0
2008-01-28,57.69442458,27.78,76.43
2008-01-29,57.30210974,27.31999,77.46
2008-01-30,56.92790777,27.62,76.41
2008-01-31,57.33229384,26.2,75.21
2008-02-01,57.67679825,24.01999,73.94
2008-02-04,57.08325354,25.98999,73.9
2008-02-05,57.51932721,28.23999,75.06
2008-02-06,57.34368037,28.96999,74.63
2008-02-07,56.10814439,27.65999,72.0
2008-02-08,56.75014172,28.00999,72.6
2008-02-11,56.98634829,27.59999,71.41
2008-02-12,56.64717988,26.32999,72.52
2008-02-13,56.04751803,24.87999,71.44
2008-02-14,55.22387785,25.53999,69.23
2008-02-15,55.64784441,25.01999,74.72
2008-02-19,55.0845826,25.59,69.6
2008-02-20,55.46614705,24.39999,71.29
2008-02-21,56.05363518,25.12,69.65
2008-02-22,55.73263651,24.06,65.47
2008-02-25,55.16331812,23.03,68.92
2008-02-26,55.18148786,21.89999,68.59
2008-02-27,55.22994049,22.68999,67.56
2008-02-28,56.21110622,23.53,66.61
2008-02-29,57.07114039,26.53999,69.81
2008-03-03,56.92399124,26.28,71.02
2008-03-04,56.37079995,25.51999,69.95
2008-03-05,55.69602817,24.59999,68.51
2008-03-06,55.9939004,27.54999,74.53
2008-03-07,56.0668487,27.48999,76.02
2008-03-10,56.89359611,29.37999,77.45
2008-03-11,56.40726803,26.35999,73.76
2008-03-12,57.4954196,27.21999,73.94
2008-03-13,57.04557174,27.28999,75.56
2008-03-14,57.75073866,31.15999,80.99
2008-03-17,58.19450749,32.23999,80.71
2008-03-18,57.96958356,25.78999,72.97
2008-03-19,58.93006953,29.84,70.5
2008-03-20,59.07657404,26.62,66.97
2008-03-24,57.93310941,25.73,68.82
2008-03-25,58.17627041,25.71999,68.65
2008-03-26,57.93310941,26.07999,69.56
2008-03-27,57.52581473,25.87999,69.0
2008-03-28,58.08508504,25.70999,68.79
2008-03-31,58.29177189,25.60999,67.64
2008-04-01,57.34309772,22.67999,66.96
2008-04-02,57.46525642,23.42999,67.61
2008-04-03,57.59345894,23.20999,66.11
2008-04-04,58.11847881,22.45,64.56
2008-04-07,57.8132347,22.42,67.4
2008-04-08,57.61177359,22.35999,67.3
2008-04-09,58.21005815,22.81,75.24
2008-04-10,58.01469582,21.98,75.47
2008-04-11,58.40540828,23.45999,74.74
2008-04-14,58.06353487,23.81999,72.39
2008-04-15,57.34315267,22.78,68.15
2008-04-16,56.7815035,20.53,66.36
2008-04-17,56.68383759,20.37,65.09
2008-04-18,56.63499243,20.12999,62.09
2008-04-21,56.86087307,20.5,63.43
2008-04-22,57.05623541,20.87,62.84
2008-04-23,56.86697185,20.25999,59.74
2008-04-24,56.38469226,20.06,62.75
2008-04-25,56.05503473,19.59,65.99
2008-04-28,56.22597143,19.64,66.48
2008-04-29,56.4396362,20.23999,65.42
2008-04-30,56.84561697,20.78999,64.69
2008-05-01,56.84644429,18.87999,63.06
2008-05-02,56.12958355,18.17999,63.68
2008-05-05,56.12958355,18.89999,70.1
2008-05-06,55.72520057,18.20999,69.04
2008-05-07,55.96409288,19.73,72.82
2008-05-08,56.46656937,19.39999,73.45
2008-05-09,56.67488788,19.40999,73.79
2008-05-12,56.58910967,17.78999,72.0
2008-05-13,55.97028729,17.98,68.62
2008-05-14,55.99478922,17.65999,71.18
2008-05-15,56.50333146,16.29999,71.16
2008-05-16,56.27050489,16.46999,75.77
2008-05-19,56.3452606,17.00999,76.63
2008-05-20,56.63812579,17.57999,79.8
2008-05-21,56.65038594,18.59,80.12
2008-05-22,55.98253519,18.04999,83.62
2008-05-23,56.22761579,19.54999,79.63
2008-05-27,55.84773474,19.64,79.35
2008-05-28,55.35145266,19.06999,77.7
2008-05-29,54.95319669,18.14,74.2
2008-05-30,55.31469057,17.82999,73.46
2008-06-02,55.52784434,19.82999,78.6
2008-06-03,55.92754643,20.23999,79.72
2008-06-04,55.42945613,20.79999,81.04
2008-06-05,55.09740208,18.62999,79.35
2008-06-06,55.81070428,23.56,88.78
2008-06-09,55.81070428,23.12,92.23
2008-06-10,55.44790392,23.17999,91.98
2008-06-11,55.31877555,24.12,93.87
2008-06-12,54.76533573,23.32999,92.41
2008-06-13,54.64849974,21.21999,86.91
2008-06-16,54.66079826,20.95,84.17
2008-06-17,54.77149115,21.12999,80.89
2008-06-18,55.23268587,22.23999,81.56
2008-06-19,54.90670729,21.57999,77.91
2008-06-20,55.22653045,22.87,78.35
2008-06-23,55.34336645,22.64,78.37
2008-06-24,55.70912461,22.42,77.41
2008-06-25,55.73691928,21.14,76.01
2008-06-26,56.11202432,23.92999,79.87
2008-06-27,56.7700016,23.43999,79.54
2008-06-30,56.78229398,23.95,79.66
2008-07-01,56.64758993,23.64999,79.44
2008-07-02,56.94382495,25.92,79.19
2008-07-03,56.82040244,24.79999,76.44
2008-07-07,57.07960268,25.78,75.43
2008-07-08,57.44988257,23.14999,76.03
2008-07-09,57.70291138,25.23,81.69
2008-07-10,57.69674612,25.59,79.94
2008-07-11,56.87593917,27.48999,77.18
2008-07-14,57.37582536,28.48,78.83
2008-07-15,57.35731106,28.53999,73.07
2008-07-16,56.32050391,25.09999,73.22
2008-07-17,56.03044649,25.00999,72.46
2008-07-18,55.8206239,24.04999,70.29
2008-07-21,56.0366241,23.04999,71.6
2008-07-22,55.75891572,21.17999,68.39
2008-07-23,55.64782373,21.31,67.25
2008-07-24,56.19090996,23.43999,74.9
2008-07-25,55.62930943,22.90999,73.7
2008-07-28,56.19090996,24.23,74.9
2008-07-29,55.96256072,22.03,71.03
2008-07-30,56.0181098,21.20999,67.21
2008-07-31,56.57353889,22.93999,72.95
2008-08-01,56.69895003,22.56999,72.73
2008-08-04,56.56888433,23.48999,73.17
2008-08-05,56.14769297,21.14,70.28
2008-08-06,55.91846914,20.23,71.6
2008-08-07,56.82902811,21.14999,73.11
2008-08-08,56.9838756,20.65999,73.05
2008-08-11,56.43881244,20.12,75.59
2008-08-12,56.9652939,21.17,72.4
2008-08-13,56.76708292,21.54999,79.41
2008-08-14,57.13253538,20.34,74.37
2008-08-15,57.62803496,19.57999,74.1
2008-08-18,57.85721543,20.98,72.85
2008-08-19,57.63423505,21.28,77.5
2008-08-20,57.79527644,20.42,73.42
2008-08-21,57.68998015,19.81999,73.75
2008-08-22,57.65281675,18.81,73.56
2008-08-25,58.22884321,20.96999,77.03
2008-08-26,58.2784006,20.48999,73.14
2008-08-27,58.37750299,19.75999,72.0
2008-08-28,58.3836907,19.42999,68.05
2008-08-29,58.12355311,20.64999,68.07
2008-09-02,58.66438199,21.98999,69.65
2008-09-03,58.9130389,21.42999,69.93
2008-09-04,59.38300047,24.03,72.38
2008-09-05,59.35440492,23.06,70.39
2008-09-08,59.60306183,22.64,67.94
2008-09-09,60.193622,25.46999,70.68
2008-09-10,59.82063663,24.51999,70.63
2008-09-11,59.7895483,24.39,71.03
2008-09-12,59.01871809,25.65999,70.26
2008-09-15,60.93337631,31.7,79.37
2008-09-16,60.92094347,30.29999,74.38
2008-09-17,61.2255544,36.21999,93.04
2008-09-18,60.3303833,33.09999,89.33
2008-09-19,58.41572508,32.06999,79.37
2008-09-22,58.40951487,33.84999,83.92
2008-09-23,58.18572365,35.71999,84.77
2008-09-24,58.44058455,35.18999,86.66
2008-09-25,58.32248495,32.81999,82.96
2008-09-26,58.74519549,34.73999,87.81
2008-09-29,60.45471176,46.71999,99.86
2008-09-30,58.98141955,39.39,92.23
2008-10-01,59.72344171,39.81,89.76
2008-10-02,60.20357378,45.25999,95.29
2008-10-03,60.73358347,45.14,94.68
2008-10-06,61.83726993,52.04999,104.82
2008-10-07,61.65020549,53.67999,106.47
2008-10-08,60.76476712,57.53,104.99
2008-10-09,60.25345763,63.92,108.05
2008-10-10,59.82944489,69.95,116.0
2008-10-13,59.06248067,54.98999,110.07
2008-10-14,58.6821163,55.12999,105.64
2008-10-15,59.2433034,69.25,114.93
2008-10-16,58.93714749,67.60999,119.48
2008-10-17,58.53246474,70.32999,117.45
2008-10-20,59.00012586,52.96999,115.98
2008-10-21,59.31189993,53.10999,114.28
2008-10-22,60.51534786,69.64999,123.31
2008-10-23,60.96430252,67.79999,121.61
2008-10-24,60.31581245,79.12999,128.09
2008-10-27,60.35946082,80.06,134.87
2008-10-28,59.48025793,66.95999,127.46
2008-10-29,59.18095482,69.95999,124.73
2008-10-30,58.64470341,62.89999,121.52
2008-10-31,57.88397467,59.89,116.94
2008-11-03,58.04049176,53.67999,116.19
2008-11-04,59.12980105,47.73,116.29
2008-11-05,59.83097594,54.56,117.03
2008-11-06,59.39899972,63.67999,125.0
2008-11-07,59.01084654,56.09999,116.37
2008-11-10,59.29876391,59.98,116.53
2008-11-11,59.47419379,61.43999,114.11
2008-11-12,59.85601142,66.45999,123.26
2008-11-13,58.42237824,59.82999,117.12
2008-11-14,59.58055231,66.31,118.34
2008-11-17,59.84349055,69.14999,115.1
2008-11-18,60.61353022,67.64,106.9
2008-11-19,62.16611164,74.25999,102.48
2008-11-20,65.37770812,80.85999,106.71
2008-11-21,64.43238882,72.67,99.48
2008-11-24,63.42445891,64.7,92.31
2008-11-25,65.29006204,60.89999,90.28
2008-11-26,65.37770812,54.92,89.32
2008-11-28,66.1853104,55.28,88.41
2008-12-01,68.71990054,68.50999,90.49
2008-12-02,68.98373724,62.98,87.08
2008-12-03,69.1784583,60.71999,84.72
2008-12-04,70.54154969,63.64,83.94
2008-12-05,69.39831175,59.92999,82.9
2008-12-08,69.24756138,58.48999,82.1
2008-12-09,70.61692801,58.90999,80.75
2008-12-10,70.4473205,55.73,86.46
2008-12-11,70.58552038,55.78,88.68
2008-12-12,70.58552038,54.28,86.27
2008-12-15,71.38954957,56.75999,82.03
2008-12-16,73.15467126,52.37,79.99
2008-12-17,75.13962755,49.84,75.17
2008-12-18,76.71629086,47.34,81.26
2008-12-19,76.79794443,44.92999,87.69
2008-12-22,76.20749344,44.56,87.04
2008-12-23,76.10698273,45.01999,86.39
2008-12-24,75.94365674,44.20999,85.1
2008-12-26,76.19492411,43.37999,83.74
2008-12-29,76.10361553,43.89999,83.96
2008-12-30,76.82840557,41.62999,80.89
